Lund,0,13
Hässleholm,0,43
Helsingborg,361,48
Åstorp,148,49
Kristianstad,353,69
Alvesta,61,81
Halmstad,45,85
Nässjö,41,114
Varberg,114,114
Värnamo,169,120
Emmaboda,262,131
Jönköping,388,148
Göteborg,108,153
Mjölby,288,153
Kalmar,398,160
Karlskrona,446,164
Linköping,138,169
Herrljunga,75,192
Falköping,94,193
Norrköping,136,193
Trollhättan,389,197
Skövde,64,209
Katrineholm,112,218
Uddevalla,392,227
Hallsberg,22,249
Södertälje,39,252
Eskilstuna,152,264
Örebro,40,268
Stockholm,16,273
Arboga,117,289
Frövi,141,289
Västerås,144,297
Strömstad,803,307
Uppsala,59,324
Fagersta,171,339
Sala,120,359
Avesta,44,363
Ludvika,259,375
Gävle,108,383
Storvik,224,405
Borlänge,107,410
Mora,362,484
Ånge,172,548
Sundsvall,270,600
Östersund,218,612
Sveg,304,645
Umeå,460,790
Boden,462,976
Luleå,688,1002
Gällivare,475,1095
Kiruna,579,1162